"sentiment","hate_speech","language","content"
"pos","none","german","Ach ne warte! Du meinst die Sakeflasche, richtig? :D<br>Haha, sorry^^<br>Ja, das ist momentan mein Lieblingssake."
"neg","off","english","Bitch nanun solo 😎"
"neg","off","english","Idiot"
"pos","off","english","This Be Niggas dream car🔥🔥💰💰"
"pos","none","german","@N-ROUTE Das ist völlig legitim, wenn einem ein Produkt gefällt dann darf man das auch weiter empfehlen. Mache ich auch so. Früher nannte man das Mund zu Mund propaganda ;-)"
"neg","none","german","Ich gucke seit 2 Stunden alle meine Videos und habe gemerkt als ich früher mit Kevin gespielt habe in den Livestreams war ich einfach so hässlich meine stimme lelele"
"neu","none","german","Das Geburtsjahr ist echt mal subtil :D Vor allem weil das ja auch überhaupt nichts ist, was einem irgendwie verdächtig vorkommen könnte :D Habe auch mal von einem Experiment gelesen, in dem die Versuchspersonen an zwei angeblich unabhängigen Versuchen teilgenommen haben, im ersten mussten sie Roulette spielen, im zweiten sollten sie eine Abschätzung geben, wie viele Monate ein Verbrecher für seine Tat ins Gefängnis muss...und so absurd ein Zusammenhang auch ist, der Anker hat gewirkt und die beiden Zahlen haben miteinander korreliert!"
"pos","none","german","Interessante Vergleiche  ....  Alle Autos mit Richtigen Mt's zu sehen wäre auch nochmal cool"
"neg","hate","english","no this is definitely gay"
"neu","none","german","so spät unterwegs"
"neg","off","german","Du penner"
"pos","none","german","Der Song ist Hammer und damit hätte sie gewinnen müssen, aber naja so ist das eben wenn man das \"Volk\" abstimmen lässt... 🤔"
"neg","none","german","I cried for 10 mins ugly cry"
"pos","none","german","Kann man dir noch Aufnahmen schicken? :D"
"pos","none","english","Hello, Thank you very much for making this unique and extraordinary video, I appreciate your time and dedication. I will start to warm up this way the next time I have a hitting session. I really liked it and hopefully I will keep following your channel with this awesome information. After you finish to cool down, which kind of stretches are the best in order to avoid any pain the next day or an injury?, this is just one question I have after seeing the video."
"neu","none","german","@II_Sxicide_II woher willst du dupe Vorlage"
"neg","off","german","mein Opa ist mit 68 Jahren ( nach 4 Jahren Kampf gegen den Hurensohn Krebs ) gestorben .... ich würde alles geben um noch 1 mal :\"Ich Liebe Dich\" zu sagen .... ALLES"
"pos","none","german","Du könntest dich bei Voice Kids anmelden"
"pos","none","german","ChallengeMeIfUCan Hallo Du, <br><br>vielen Dank für deine Mail!<br><br>Wie schätzt du folgenden Fall ein: <br><br>Ein Unternehmer hat einen besten Freund. Ein Immobiliengutachter. Das sind so richtig gute Kumpels. Der Unternehmer hat seinem Freund nach einer durchzechten Nacht das Leben gerettet (als dieser sturzbedrunken in einen Fluss fiel). Jetzt steht der Immobiliengutachter in seiner Schuld. Da der Unternehmer kriminelle Tendenzen hat, bittet er seinen Freund, ein falsches Gutachten für den Wert einer Immobilie auszustellen. Plötzlich ist sie 100.000 € mehr wert. Nun verkauft er sie überteuert. Und steckt die 100.000 € als stille Selbst-Finanzierung in die Tasche.<br><br>Kannst du mit diesem Beispiel leben?<br><br>Ich wünsche dir einen phänomenalen Abend und eine fantastische Zeit! :-)<br><br>Lieben Gruß,<br><br>dein Gripscoach"
"neu","none","english","I am guessing the arcade versions aren't rated by the ESRB? lol"
"neg","none","german","Ich finde mit Mesh/Lochblech an den Seiten der Fronttür sähe das Gehäuse wirklich ziemlich gut aus, aber so finde ich es irgendwie sehr hässlich. Für mich ist unverständlich, warum man da so große Freiräume lässt."
"pos","none","german","Das Game ist Großartig! Aber warum kriegen wir keine Collecters Edition? Viele Mafia Original Fans wünschen sich das. :("
"pos","none","german","Thanks, mate!"
"neg","hate","german","🇪🇦🇩🇪Es lebe König Christus über Spanien und Deutschland.<br><a href=\"https://m.youtube.com/watch?v=C4qvZT_y2g4%F0%9F%87%A9%F0%9F%87%AA%F0%9F%87%AA%F0%9F%87%A6\">https://m.youtube.com/watch?v=C4qvZT_y2g4🇩🇪🇪🇦</a><br>Das Judentum wurde bei der Bücherverbrennung nur am Rande erwähnt. Das Problem ist, dass sich Juden im widergöttlichen Bolschewismus, Literatur und Sexualpsychologie herumgetrieben haben."
"pos","none","german","Danke für das Tutorial war hilfreich!"
"pos","none","english","that is an awsome looking hound love his howl."
"neg","hate","german","Was zum Teufel ist falsch mit manchen Leuten. Alle Biker sind Nazis. Ich kann nicht mehr"
"neu","none","english","Hi I&#39;m half Asian growing up in Switzerland. As a young kid never had to face racism (I grew up in the countryside) when I went to an other city to finish my obligatory school (11 to 15) I faced few form of racism like 2 times and it was always by non Swiss kids. In adulthood now, I met some racist people but I feel like racism in Switzerland is more oriented towards Black, Arabs and Balkan people. Switzerland is a diverse country on it&#39;s own, with different mindset around the country. I can only talk about the French part of Switzerland"
"neu","none","german","Bitte alle an der Abstimmung teilnehmen. Eure Meinung ist nicht nur wichtig sondern auch entscheidend. Am Ende des Videos erkläre ich auch nochmal wie es zu dieser Abstimmung gekommen ist bzw. warum ich diese Abstimmung möchte.

Wie soll es weiter gehen?
- Weiter wie gehabt
- Neue Ork Kampagne
- Neue Kampagne mit anderem Volk

Eure Meinung ist gefragt, ich bin offen für jede Entscheidung :)"
"neu","none","german","Endlich kann ich mal weiter schauen, nach dem spannenden Recap von GoT Season 8 brauche ich was leichtes ;) Glaube aber das wird noch recht hässlich werden. Kenne das Game zwar nicht, aber ich kenne mich mit Anime & Manga aus...und allein schon die Haarfarbe der Mädels sagt mir böses voraus.


Aber so ein Literature Club, den hatte ich mit meiner Exfreundin und zwei Freunden damals auch. Jeden Dienstag wenn es irgendwie ging, und jeder hatte über sein neues Buch oder Manga erzählt :) Und was hier in Deutschland fehlt, sind Mangacafés. Sich einfach hinsetzen, lesen und, einen Karamel-Gurke-Thunfisch smoothie schlürfen xD."
"pos","none","german","King Donut danke"
"pos","none","german","Ein schwarzer Fitnessyoutuber haha :D Zwei Videos und musste dir direkt n Abo geben :) Pure Motivation und verdammt gute Tipps und du bringst das total gut rüber !! Bleib du selbst schwarzer Bruder #X"
"neg","hate","english","I want to knock the shit out that fucking annoying bitch dear fuck"
"pos","none","german","Super"
"neu","none","german","Naja bei meinem Luck^^"
"pos","none","english","Ma'am Can you please conform me that (e+consonnes) pronounciation will be EH or AH..
I have recently started learning French and your video is really really helpful.
Merci beaucoup:)"
"pos","hate","english","...no homo"
"neu","none","german","Du bist ja richtig fame OMG 😨 10.K Subs 🙀🙀🙀🙀🙀🙀!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
"neg","none","english","You win. at :28 the “Thug Life” overlay w the sunglasses is typically followed by an air horn. You’ve managed to find and add a sound clip of the only thing on earth truly more annoying-LMFAO.Fcuk LMFAO."
"neu","none","german","das ist eine frau aber sie ist homosexuell"
"neg","off","english","Dave Kachel as himself. Tech as himself. And last, but the least Penner as Itself."
"pos","none","english","It&#39;s ok I&#39;m here for you dude I understand the pain and what it&#39;s like I havent smiled for 3 years since the death of my grandpa"
"pos","none","german","Ich würde eventuell für den Treibstoffzug den Gleisverlauf etwas anpassen. Und zwar an dem Kohlebahnhof wo er nur durchfahren soll dahinter beide Gleise zu einem Verbinden. So kann er sich das Gleis aussuchen auf welchen er den Bahnhof passieren kann. Man weiß ja nie ob der Kohlezug nicht doch mal das rechte Gleis nimmt und dort 6 Monate wartet bis er entladen ist. Solange würde der Treibstoffzug dann an dem Signal warten und wegrosten weil er nicht durchkommt. Und Schwarze Pumpe bekommt keinen Treibstoff mehr. Nur weil der Kohlezug die durchfahrt blockiert.

Man kennt ja das Spiel mit seiner Logik was Gleise betrifft und dem Verhalten der Züge. 
Ansonsten Super Video."
"neg","none","german","Würde mich auch super freuen eine Region die du erstmal richtig erkunden kannst dr ist ja oh ne Insel sieht hässlich aus.."
"neu","none","german","Mütze izzda"
"pos","none","english","Vid starting with a close-up on big boobs = like"
"neu","none","english","Everybody comments like they’re professional track drivers. I’m not. I go to work and take her on the twistys on weekends. For me the modern design (interior and exterior), 12 cu. Ft. of cargo, along with that 1-2-4-5-3 engine note, more than make up for 1 sec on the Nurburgring."
"pos","none","german","Oh wie schön.... Ich hatte selbst mal 3 haflinger. Ich liebe diese tolle Rasse."
"neg","off","english","Yoir gatteing fat bro. Stop eating putin and hotdogs."
"pos","none","german","Soo soo sooo dankbar 🌼"
"neg","off","english","BEAST SQUAD first thing what do you mean second thing you are here just to say this word third thing you mean rekt right bitch?"
"neg","hate","english","OMG
All cheaters are fucking stupid pieces of shit and son of a bitch"
"pos","none","english","very nice game."
"neu","none","german","Sowohl Sion wie auch Ciro´s  Songs wurden gesperrt... Sorry dafür ✌"
"pos","none","german","echt echt coole verlosung würde mich Mega freuen zu gewinnen gzte video Qualität 💕"
"neu","none","german","Hatte meinen Startet wenige Tage später getauscht. Dann war Ruhe. Leider etwas mehr Aufwand, weil der rechte Motorträger mit Motorlager im Weg war (hat eine Schraube vom Starter verdeckt). Laut WIS muss der Motorhalter nicht raus, ging aber zum Verrecken nicht ohne Ausbau. Gut dass ich eine Motorbrücke hatte."
"neg","hate","german","du Arschloch du hast Schläge verdient"
"pos","off","english","My NIGGA TREY KILLIN SHIT THIS YEAR ALREADY!!"
"pos","off","english","+xAbeam Thanks Man ! Love you ( no homo ) 😉"
"neu","none","german","Unterstützt Terrorismus"
"neg","off","german","Es wird leider immer schlimmer: früher waren Straßenmusikanten normal und anerkannt - wenn dann noch einer so singen kann wie Hubertus, was sollte man dagegen haben??? Früher durfte man im Biergarten auch bis vier Uhr morgens sein, Spaß haben und lustig sein - ist auch verboten (zumindest nach 22 Uhr)! Mein Gott, wann merkt das Volk endlich, das die Bevormundung durch den Staat - die Gesetze - immer mehr zunimmt? Aber solange hier ein Sozialstaat ist, und jeder auch ohne Arbeit Geld bekommt, lassen sich die Menschen diese Bevormundung. Einschränkung gefallen. Traurig aber wahr.
Hubertus, meine Stimme hast Du auf jeden Fall (und wie man erkennen kann, sind es fast immer die \"etwas älteren\", die sich -noch- der Bevormundung entziehen) und den jungen Menschen, deren Zukunft ja noch offen ist sage ich hier: steht auf und kämpft um Eure Rechte!!! Ihr habt das Recht auf freie Meinung, auf Leben und auch Spaß am Leben. Lasst es Euch nicht nehmen !!!"
"pos","none","english","Wish I had such luck detecting. Been to Germany once with my metal detector and found some nazi food tins and a few empty round cases but it was still a fun experience. "
"neu","none","english","Gringo mit Knockoff Tour Life schon dreist💀"
"pos","none","german","Liebe Olga. Die Jeans ist echt mega cool und wandlungsfähig! 😊👍🏻 Danke für die tollen Inspirationen. 😎👍🏻
Könntest du bitte nochmals verraten, welche Farbe du verwendet hast, um dein weißes T-Shirt in olive zu färben? Vielen Dank und liebe Grüße Tine 🙋🏼‍♀️"
"neu","none","german","Auf Porta Nigra sind Brandspuren"
"neu","none","german","Ich habe 7050"
"pos","none","german","vielen Dank für Ihr Feedback ! Alle Bilder heute beim Spaziergang geschossen ;-)"
"pos","none","german","Mal wieder Sehr Goil, der Einblick in die Arbeitsweise. Starkes Team."
"neu","none","german","@Gustav Ich würde aber lieber selbst entscheiden, wie viele Denkfehler und Fehleinschätzungen oder wie viel Dummheit und Selbstverliebtheit ich ertragen möchte/kann."
"neu","none","german","schade das es nicht mehr gibst lg lilo  kekse und milch da lassen "
"pos","none","german","Interessantes Teil. Endlich mal ein Hersteller mit einer Sinnvollen Lösung für den Verbraucher. Das es so was schon nicht vor 20 Jahren gab, fast schon kriminell. Aber die Politik gewährt ja Konsumenten abzuzocken. 
Grüße vom Kanal Geistige Evolution!"
"neg","off","german","Ich glaube ich wäre komplett ausgerastet so asozial echt das geht gar nicht die armen Kinder echt so ein ASOZIALES VERHALTEN"
"neg","hate","german","Merkel hat ihren Eid gebrochen, der da lautet:\" .....Schwöre ich schaden vom deutschen Volk abzuhalten......!\" Tausende von Mord- und Vergewaltigungsopfern in ganz Deutschland, das hat es seit Ende des 2. Weltkrieges nicht mehr gegeben. Die Geburtenrate ist niedriger als die illegale Einwanderungsrate von Asylanten!!! Die Volkshasser müssen abgewählt werden, das Märchen von dem Einwanderungsland ist vorbei. Wählt AfD, damit wir morgen nicht zwangs moslemisiert werden. Es gibt keine Integration, die Türken aus den 70`´-igern sind bis heute nicht integriert. Wann hört die Lügenpresse mit dem Hass auf das eigene Volk auf? Wo sind die Richter, die die Lügenpresse vor Gericht stellen wegen Volksverrat und Volksverhetzung gegen das eigene Volk! Täglich werden kriminelle Ausländer hochgejubelt und harmlose Deutsche verunglimpft, wann hört das endlich auf? Wehrt Euch, zeigt Zivilcourage, das sind wir unseren Kindern und Enkeln schuldig. Leistet Widerstand!"
"neu","none","english","But how to get away from the chase? You must cancel the chase yourself or the system itself can cancel the chase? Depends on the distance? sry for bad english"
"neu","none","english","grumpy cat likes junking hobos"
"neu","none","english","Almost unknown in the English-speaking world, Johannes Heesters had an amazing career. He last appeared as a singer aged 108. His sight had gone and when acting he memorized his lines. Married to his first wife for 55 years, soon after her death he tied the knot again in his 90s- to an actress half his age.

He was a Dutchman who was never forgiven for continuing to film in Germany after the Netherlands was occupied, and for schmoozing innocently with Hitler. But he was no Nazi, and after the war he remained a huge star in Adenauer's Germany, showered with awards. Like others, such as Marika Rokk and Zarah Leander, he ought to be publicized more widely."
"pos","none","german","@Low-Idiot bin übrings Hypzz Optimal😉😂"
"pos","hate","german","der staiger is son spasti ^^ aber witzig!"
"neg","hate","german","Was ein Sonderschul Schwachsinn die kann auch bestimmt nicht lesen und schreiben ist doch üblich so bei euch"
"neu","none","german","der Metaler hat nur Dvds und VHS Kassetten da kann man kein Modernen Fernseher benutzen und auf seine Anlage spielt der Metaler eine CD mit 800 Lider ab mit 32 Kilobit so hat er seine ganze Musiksammlung immer dabei ist nicht jeder so wie ich ich habe balt eine neue Anlage besteht aus Denon pma 720 und Sony ps hx 500 und als Lautsprecher Teufel mk 40 dann bekommt der Metaler meine andere Anlage"
"pos","none","german","Yeeeaaahh. Es gibt endlich wieder DBD Videos. Ich habe mich schon gefragt wann mal wieder endlich paar DBD Videos kommen"
"pos","none","german","Ey Captn, das Lets Play ist echt super…. Aber die Mukke ist richtig Folter😳…. Kommst du aus Berlin? Wegen dem Knorkel?.. Du musst mir die letzte Frage nicht beantworten, wenn du nicht willst 🤭"
"neg","off","german","Gott ist überall gegenwärtig, das Licht wird und wieder Freiheit schenken, dass was im Moment auf unseren Planeten herrscht ist teuflisch!!! Sie halten uns blind , machen uns mit Absicht krank , stehlen , betrügen ,,, mehr als Sklavenarbeiter sind wir für die Verbrecher nicht !!!!! Trump hat sie alle durchschaut!!!!!! Jetzt haben sie Angst um ihre Macht !!!!"
"neu","none","german","Die Waterproof Mascara ist warum auxh immer viel schwarzer als die normale.Hatte anfangs die normale aber jetzt nur noch die Waterproof weil der Schwung usw auch alles den ganzen tag hält."
"pos","none","german","Mit Stimme wär es sick. Aber ich muss sagen, dass das du das Video echt gut geschnitten hast."
"neu","none","german","bei 333 Sieg habe ich eine bekommen"
"neu","none","german","Wenn man mit Vorräten spielt, dann sollte man die Fregatte lieber weglassen, aber Eifer ist einfach mit Raffards Rache und den duellierern zu gut^^<br><br>In Witcher 3 war Eredin auch der Mega Endboss, aber in Gwent wird er von einem Parasiten zerstört :P"
"pos","none","german","Spannende Reportage über Patrick Korte. Danke dafür 🥊."
"pos","none","english","Congratulations cheers from California USA 🇺🇸"
"neu","none","german","@DERMEINUNGSkek hab ja nicht gesagt, dass er ihn gemacht hat"
"pos","none","german","Geile Serie, geiler Sound"
"neu","none","english","I&#39;m faster as 1thek. And i&#39;m fat. ( ͡° ͜ʖ ͡°)"
"neg","none","german","Kegy Mach das nächste Mal einfach noch in weiß &quot;Intro&quot; auf das schwarze, okay? ;P"
"neu","none","german","@PyroEnte wow das ist auch immer das einzige Argument eine hässlich Süd"
"neg","off","german","@MoSi weil du ein Penner bist 🤣 haben wir uns schon gedacht 😉"
"neu","none","german","Hässlich würde ich jetzt nicht sagen. Manches ist verbesserungswürdig. Aber wenn Günzbro die Ecke um die ehemalige Synagoge und den Stadtpark und den jüdischen Friedhof mitgezeigt hätte wäre das Urteil eventuell besser ausgefallen"
"neu","none","english","@Zmarine oh yea my classmate :V"
"neu","none","english","What was the song at the beginning?"
"pos","none","german","Ja Schildizz let&#39;s goo!"
"neu","none","german","AnnKath beauty haben ca 15 Bleche gebacken und dann war die glasur fest auf meinem nagel und das hab ich dann so art abkratzen müssn"
"neu","none","english","@Mohamad yeah"
"neg","hate","german","@@d247de Wie ich oben schon geschrieben hatte: Wenn ich auf diesem Kanal Kommentare mit Internet-Links verfasse, werden sie (wahrscheinlich automatisch) gelöscht. Damit ich die Quellen angeben kann, ohne dass sie als URL erkannt werden, habe ich die Sonderzeichen <b>/</b> in <b>\</b> verwandelt. Um die Seiten im Browser aufrufen zu können, müssen Sie diese Sonderzeichen wieder zurückverwandeln. Sorry.<br><br><b>Sucharit Bhakdi</b><br>● Dass die Juden durch die Impfungen ihr eigenes Land in eine <i>„lebende Hölle“</i> verwandelt haben, <i>„in etwas, was noch schlimmer ist, als Deutschland [unter den Nazis] war“,</i> sagte er in einem Interview auf Twitter:<br>https:\\<a href=\"http://twitter.com/\">twitter.com\</a>samuelalthof\status\1416019756788953091<br><br><b>Reiner Fuellmich</b><br>● Dass jeder Vierte an der Impfung sterben wird (und 36 weitere Prozent schwere, möglicherweise tödliche Schäden erleiden), prophezeit er hier:<br>https:\\<a href=\"http://twitter.com/\">twitter.com\</a>jot_witte\status\1365190108492820480<br>Dort nennt er die Impfungen auch „organisierte Massentötung“<br>● Dass die Regierung eine <i>„Art KZ“</i> für Nichtgeimpfte aufbauen will, sagt er mehrmals, u.a. hier:<br>https:\\<a href=\"http://twitter.com/\">twitter.com\</a>Nightmare_Keks\status\1382375036267474944<br>● Dass die Regierung etwas Schlimmeres plane als den Holocaust, sagt er bei verschiedenen Gelegenheiten u.a. hier:<br>https:\\<a href=\"http://www.youtube.com/\">www.youtube.com\</a>watch?v=CuVR9N-gXUw (bei <a href=\"https://www.youtube.com/watch?v=_9exQM-j7BY&amp;t=3h46m18s\">3:46:18</a>)"
"pos","none","german","Also solche Kat. 4 Sachen bekommst du als Normalverbraucher sicher nicht legal, außer du hast einen Pyrotechniker Ausweis, der dir erlaubt diese Sachen zu erwerben und mit einer Genehmigung abzubrennen. Du kannst aber mal im Sommer nach Polen oder Tschechien fahren, dort wird soetwas (Nur mit geringerer Qualität) das ganze Jahr an vielen Märkten (Hauptsächlich Vietnamesesmärkte) verkauft, da besteht aber im Winter die Gefahr, dass du vom Zoll kontrolliert wirst, deswegen rate ich dir, wenn du sowas in Polen kaufen möchtest, im Sommer zu fahren.<br>Sei dir aber der Gefahren, die von solchen Kat. 3 bzw. Kat. 4 Feuerwerken ausgehen bewusst. Kugelbomben bitte immer ordnungsgemaß mit einem GFK Mörser abschießen und die Raketen nicht einfach so in den Boden stecken.<br>Wenn du das ganze auch noch halbwegs legal abbrennen möchtest, dann tu das gleich in Polen oder in Tschechien im nächst gelegenen Wald wenn es dunkel wird.<br>LG und pass auf wie du damit umgehst ;)"
"pos","none","english","Nice"
"pos","none","german","auf seiner fb seite findest du meinen salat :)"
"neg","hate","german","Ekelige Person, sie sieht nicht nur negativ und krank aus... sondern man sieht aus einer hobby-psychologischen Sicht eine tiefe Depression und wirklich null Engagement sich zu verändern.
Auch diese Hummel wird keine Blüte mehr sehen und langsam zerbröseln. Wie kann man nur so festhalten an all der Dunkelheit die sie ausstrahlt... und da mein ich wirklich nicht nur die schwarze Kleidung. Bäh"
"neg","hate","german","Das Urteil für lina Engel zb?<br>Glaubst du wenn nazis Zecken jagen und behindert kneten kriegen die bloß 5 Jahre?"
"pos","none","german","Wie immer ein größerer Banger als jeder Olufsen. <3"
"pos","none","german","Das viele Geld
benötige ich dringend
um zu werden ein Held
bösewichte bezwingen.

insta: maxi.kl_ 

Viel Glück an alle"
"neg","hate","german","Lucreax sagt die Pussy mit dem Minecraft Profilbild. <br>Mich sieht man wenigstens auf meinem PB"
"neg","off","german","@Pantheroathz4 wie kitschig ;-; kannst du dich nicht selber in Schutz nehmen? 😂 wie Erbärmlich du bist."
"neg","none","german","Mein Arzt, ihr Namensvetter verweigert med. Hilfe. Die Kirche auch Dreck am Stecken. Es ist zum heulen. Lassen mich alle verrecken  nachdem ich alles gegeben. Habe"
"pos","none","english","Hahaha she is the best!!!"
"pos","none","german","Wir haben auch ein Hund von der Rasse er heißt leri 😄"
"neu","none","english","tuning?"
"neg","none","german","Was‘n schwachsinniger Kommentar!🙈🙉🙊"
"neu","hate","german","Jesus is here! shout the blasphemists<br>Jesus is here! shout the stateless<br>Jesus is here! shout the gypsies<br>Jesus is here! shout the revolutionizers, the asocials, unemployed,<br>homeless, condemned, hunted, abused, prosecuted<br><br>Wanted: Jesus Christ<br>To be accused of seduction, anarchic tendencies,<br>conspiracy against authority<br>Special markings: scars in hands and feets<br>Supposed profession: worker<br>Citizenship: unknown<br>Aliases: son of mankind, peace bringer, light of world, redeemer<br><br>I&#39;m searched by the police<br>because I scream into the world<br>that the existing order will go down<br>I&#39;m not the official church-Jesus<br>I&#39;m not your superstar<br>who continues to act his part on the cross<br>and that you beat on the mouth if he&#39;s falling out of the role<br>I&#39;m the disobedient, the restless<br>I&#39;m tired of your whole show and rituals<br>Your olibanum is horrible to me<br>it stinks of burned human flesh<br>I can&#39;t stand your holy ceremonies and celebrations any longer<br>You can pray as much as you want, I don&#39;t listen<br><br>Wanted: Jesus Christ<br>To be accused of seduction, anarchic tendencies,<br>conspiracy against authority<br>The wanted has no permanent residence<br>In his environment are blasphemes, bums, mainliner [drug consumer],<br>outcast, fated to die<br>The wanted spreads utopic ideas<br>and has to be called a dangerous leader<br>You will scream for mourning when you have killed me"
"pos","none","german","Das schwarze sieht sehr gut aus"
"pos","none","german","Weil Alice Weidel näher am Volk ist.
Die macht es jetzt der Sahra Wahenknecht nach und macht jetzt \"Vlogs\" auf YT und die 2 erreichen aber damit die Leute.
🙏👍 Danke für dein Video
Und sorry: die 🚦 ist fürn Arsch"
"neu","none","german","ich verstehe, die müssen dann auf die Parade strecke, auf der Seite wo jetzt die anderen stehen, okeee  das wird interessant"
"pos","none","german","Ich finde mich gar nicht so hässlich ;)"
"pos","none","german","Keine Angst, du packst das und tust auch noch was mega Wichtiges! ❤️ und vielen Dank!"
"pos","none","german","Nice Handkanon ist aber keine sniper"
"pos","none","german","Hahaha die Oblivion Musik! :D"
"neg","none","german","Links neomarksizm, likns nazi"
"pos","none","german","Vielendaaaarrrrm für den Reupload"
"neu","none","english","Why do people hold their hands up like chickens when fighting"
"pos","none","german","Ehren Lied no joke"
"neu","none","german","Erster"
"pos","none","german","LyricsTV Deutschland MOMENT MAL!Undankbares Volk?Die albanischen Flüchtlinge die von Kosovo nach Deutschland geflohen sind haben sich bei Deutschland und bei den Vereinigten Staaten bedankt..Sie können sich doch nicht bei jedem einzelnen bedanken der ihnen geholfen hat..Und es tut mir schrecklich leid das dein Verwandter seinen Kollegen im Krieg verloren hat..Und soll ich dir mal was sagen?Ich bin glücklich das ich in Deutschland leben darf (auch wenn es halbwegs nichts mit dem Thema zutun hat) Ich bin in diesem Land aufgewachsen,meine halbe Familie lebt hier,ich habe ein zu Hause was viele in anderen Ländern nicht haben..Deutschland ist ein wunderschönes Land wo es Gerechtigkeit gibt..Ich bin zufrieden mit das was ich hier hab..Doch meine Seele ist im Kosovo..Ich bin dort geboren,hab dort meine ersten 2 Lebensjahre verbracht..Aber ich könnte mich nicht entscheiden wenn mich jemand fragen würde wo du es besser findest..Klar viele sagen natürlich in der er Heimat..Aber wenn man nachdenkt:Weiß man,dass es egal ist ob man in Deutschland oder in der heimat ist..Es geht dir gut,du hast Spaß,bist glücklich,hast eine Familie in der Nähe,Arbeit,essen &amp; trinken,Dach über dem Kopf und genug Klamotten..Was will man noch?Wenn man all diese Sachen hat ist man schon reich genug!"
"neu","none","german","Morgen werden die Teufel zum Teufel geschickt 💪 bin im Stadion dabei 😆"
"pos","none","german","Schön, dass ich nicht allein mit meiner Meinung bin.  Danke für euren Zuspruch.  Ob ers lesen wird?"
"pos","none","german","Es freut mich zu sehen, dass Du dem guten Stück zu einem zweiten Leben verhilfst. Mein Bohrständer-Repertoire umfasst einen ZBS 480 und einen ZBF 43. Beide habe ich glücklicherweise in einem so guten Zustand ergattern können, dass eine Restaurierung nicht notwendig war. Allerdings habe ich es Dir gleichgetan und beide Bohrständer mit Sterngriffschrauben ausgestattet. 
 
Zwei kleine Anmerkungen:
1) Bei Deinem Bohrständer handelt es sich um den kleinen Bruder des ZBS 480, nämlich den ZBS 202.
2) Bei 11:28 gehört - meiner Erfahrung nach - ein O-Ring zwischen die Ringnut in der Welle und die schwarze Hülse des Tiefenanschlags (... zum Zwecke eines straffen Sitzes).

Aber alles in allem verdient Dein Projekt definitiv das Gütezeichen Q! Spitzenklasse!"
"pos","none","english","thank you!"
"neg","none","german","Am Sonntag am 31. 5. 2020 ich bin von Ludwigshafen nach Freudenstadt gefahren mit einem n wagen und nur weil ich keine super Kamera habe oder weil ich die Strecke noch nie gefahren bin die Zug Freaks Frage wann wir ankommen oder ähnliches dass die mich direkt in eine Schublade stecken und arrogant werden und mich deswegen sozusagen Mobbing finde ich das nicht okay und das schlimmste ist dann wenn man nur zum anderen Fenster will und dann noch geschubst wird nur halt gesagt Weimar halt keine gute Kamera hat haben alle dasselbe Hobby warum müssen die anderen aussortiert werden nur weil die halt vielleicht eine andere Kamera haben ich verstehe es nicht fande ich unmöglich asozial und nicht sozial und damit ich auch noch über WhatsApp angerufen und beleidigt finde ich unmöglich"
"neu","none","german","Ist Schwarzer Tee gesund?"
"pos","none","german","Geiles Video Wolfix Lache🤣😘"
"pos","none","german","Awwwww wie süß 😍
Ich liebe deine Lieder mike singer 🎶
#verdammt Ich lieb dich"
"pos","none","german","Da muss man nicht mehr viel sagen.🍟🔥👌🏻"
"pos","none","german","Der kann wad 👍🏼👊🏼😎"
"neu","none","english","No ugly"
"pos","none","german","Dir und deiner Sippe auch Heil und Segen, besinnliche Rauhnächte."
"neu","none","german","Wie zum Teufel habt ihr den Deckel abbekommen? Mit Föhn und Saugnapf?"
"neg","off","german","scheiß disney die huren"
"neu","none","german","Geiler 360"
"neg","hate","english","My Nigga how tf you mess them Air Force 1s up you gotta keep them shits crispy"
"neg","hate","german","Mit schönen Melodien, Liebeserklärungen und solchen Sprüchen wie \"Bleibt in eurer Mitte\", werdet ihr diese brutalen Mörder nicht stoppen. Ganz im Gegenteil.
Ich segne keine Psychopathen, Mörder, Satanisten und Kinderschänder, die jetzt die Völker Europas zugrunde richten. Hört auf, solch einen Blödsinn zu verbreiten."
"pos","none","english","I'm really digging the sort of pastel goth vibe that future core has associated with it. +1!"
"neg","none","german","Und wieder soll es Krieg geben in Europa, haben die Menschen noch immer nichts gelernt, OH MEIN GOTT SEI UNS GNÄDIG!"
"neu","none","german","die dickere in dem video hat letztens bei x Diaries mit gespielt also würde ich mal sagen die Band gibt es nicht mehr :D ich glaube so lange wie die hat es noch keiner geschafft haha :D :D"
"pos","none","german","Der Typ ist cool dacht echt nicht das der ein Türke ist stabil"
"neu","none","german","Und außerdem: ich glaub cygnets sind Richtig selten. Zwar hässlich aber trotzdem"
"neu","none","english","So imagine this: You're just playing a normal game of Friday Night Funkin'… you made it to Senpai… then after you beat him something's a bit off he instead says:\"not bad for a lowly lightne- I mean an ugly worm!\" And then says \"but if you keep this up I'll give you chao- I mean (insert the line that's supposed to be said)!\" And then you beat him again suddenly… Senpai turns into Jevil… and he just starts singing the world revolving after one of his famous lines \"I can do anything\" (my reaction to that happening would be:WAIT WHAT THE F*CK JUST HAPPENED!?)"
"pos","none","german","beste leeeeebbbeeen xd"
"pos","none","german","Wo und was muss man arbeiten um sich sowas leisten zu können? Mafia?^^
Hätte ich auch gerne! Und richtig geiles Gerät!"
